pid,grdatn,age,state,natvty,msafp,year,immigr,se15u,ind2
341026029500974 6011 22112,34,40,94,57,0,2017,0,1,770
522034501730006 4011 22010,39,40,94,57,0,2017,0,1,7380
411552955942 6011 12111,39,50,86,57,46060,2017,0,1,770
414406437193 4011 12011,43,42,86,57,38060,2017,0,1,7380
415451481487 6011 122 1,39,64,86,57,38060,2017,0,1,2870
415451481487 6011 222 1,39,63,86,57,38060,2017,0,1,2870
415494631631 6011 12111,40,36,86,57,38060,2017,0,1,6990
3043767410314 6011 12112,44,49,86,57,38060,2017,0,1,7380
3043767410314 6011 22112,44,44,86,57,38060,2017,0,1,7380
51680511047441 6011 32112,43,46,86,57,38060,2017,0,1,8590
71947027500543 5011 221 1,39,57,86,303,38060,2017,1,1,7770
111480040082366 5011 22012,39,41,86,57,46060,2017,0,1,5580
140603170005654 4011 22011,43,38,86,57,38060,2017,0,1,7490
140844150003751 6011 32111,43,28,86,57,38060,2017,0,1,8590
140844150601751 6011 12112,46,45,86,301,38060,2017,1,1,7990
144963601155005 6011 22110,44,45,86,57,38060,2017,0,1,7490
161042009300276 4111 12010,32,58,86,303,38060,2017,1,1,770
193260040214469 5011 12012,43,50,86,57,38060,2017,0,1,7070
264077401610003 4111 12011,33,42,86,303,38060,2017,0,1,770
284459101714004 6011 122 1,44,51,86,57,38060,2017,0,1,7890
310004370831064 5111 12012,45,51,86,57,38060,2017,0,1,8070
410104640834674 4012 12011,39,25,86,57,46060,2017,0,1,8370
415200066301100 6011 222 1,36,51,86,303,46060,2017,1,1,8770
429510487141400 6011 122 1,43,51,86,57,38060,2017,0,1,8990
429510487141400 6011 222 1,39,45,86,57,38060,2017,0,1,8990
451541063500191 6011 12111,43,59,86,109,38060,2017,0,1,6970
456220345871400 4011 22011,40,64,86,57,38060,2017,0,1,5190
481542042300756 4011 12011,40,49,86,57,38060,2017,0,1,5690
510207480743224 5011 221 1,43,50,86,57,38060,2017,0,1,7380
547074555002701 4011 12010,36,32,86,57,38060,2017,0,1,5590
551642015900926 6011 12110,42,61,86,57,46060,2017,0,1,770
579064523009211 6011 22110,34,54,86,303,38060,2017,1,1,8870
601044568410559 4011 12010,37,24,86,303,38060,2017,1,1,6170
601044568410559 4011 22010,40,29,86,303,38060,2017,1,1,6170
614135101821004 6011 12112,44,57,86,57,46060,2017,0,1,8560
