"","GEOID","CSAFP","CBSAFP","NAME","NAMELSAD","LSAD","MEMI","MTFCC","ALAND","AWATER","INTPTLAT","INTPTLON","ENTRE","IMMIG","ImmiEnter","ind2","TOTAL","INDUS","IMMIGRate","EntreRate","ImmigOwnEntreRate"
"37",39580,450,39580,"Raleigh, NC","Raleigh, NC Metro Area","M1",1,"G3110",5485858939,75685838,35.7567464,-78.4604412,170,462,32,770,3087,10,14.9659863945578,5.50696469063816,1.03660511823777
"38",40380,464,40380,"Rochester, NY","Rochester, NY Metro Area","M1",1,"G3110",8459597611,5126899048,43.148038,-77.5232575,130,140,12,770,2159,10,6.48448355720241,6.02130616025938,0.555812876331635
"39",40060,NA,40060,"Richmond, VA","Richmond, VA Metro Area","M1",1,"G3110",11852491242,327650578,37.4634618,-77.4751772,111,314,19,770,2513,10,12.4950258654994,4.41703143653004,0.756068444090728
"40",39740,428,39740,"Reading, PA","Reading, PA Metro Area","M1",1,"G3110",2218040257,24252061,40.4139565,-75.9268598,31,76,7,770,743,10,10.228802153432,4.17227456258412,0.942126514131898
"41",42540,NA,42540,"Scranton--Wilkes-Barre--Hazleton, PA","Scranton--Wilkes-Barre--Hazleton, PA Metro Area","M1",1,"G3110",4523197900,77170603,41.3228806,-75.8981877,51,85,13,770,1049,10,8.10295519542421,4.86177311725453,1.23927550047664
"42",41540,NA,41540,"Salisbury, MD-DE","Salisbury, MD-DE Metro Area","M1",1,"G3110",5435122260,2080604052,38.3995211,-75.4782615,153,276,13,770,2337,10,11.8100128369705,6.54685494223363,0.556268720581943
"43",44140,521,44140,"Springfield, MA","Springfield, MA Metro Area","M1",1,"G3110",2964007223,90781029,42.2477995,-72.6320465,110,164,0,770,1717,10,9.55154338963308,6.4065230052417,0
"44",48660,NA,48660,"Wichita Falls, TX","Wichita Falls, TX Metro Area","M1",1,"G3110",6784779872,144176905,33.7761441,-98.5019073,23,44,7,770,485,4,9.07216494845361,4.74226804123711,1.44329896907216
"45",48140,554,48140,"Wausau, WI","Wausau, WI Metro Area","M1",1,"G3110",4001539245,81145909,44.8980363,-89.757823,11,8,0,770,339,4,2.3598820058997,3.24483775811209,0
"46",45300,NA,45300,"Tampa-St. Petersburg-Clearwater, FL","Tampa-St. Petersburg-Clearwater, FL Metro Area","M1",1,"G3110",6512932308,2115146547,28.1259071,-82.4652858,384,1199,71,770,6349,10,18.8848637580721,6.04819656638841,1.11828634430619
"47",49340,148,49340,"Worcester, MA-CT","Worcester, MA-CT Metro Area","M1",1,"G3110",5240884091,199162317,42.2173112,-71.9255354,170,496,42,770,2713,4,18.2823442683376,6.2661260597125,1.54810173239956
"48",46520,NA,46520,"Urban Honolulu, HI","Urban Honolulu, HI Metro Area","M1",1,"G3110",1555505156,4054940027,21.4613654,-158.201974,498,2382,167,770,9531,10,24.9921309411394,5.22505508341202,1.75217710628475
"49",46700,488,46700,"Vallejo-Fairfield, CA","Vallejo-Fairfield, CA Metro Area","M1",1,"G3110",2128379537,218647641,38.2672255,-121.939594,49,173,5,770,791,10,21.8710493046776,6.19469026548673,0.632111251580278
"50",47300,546,47300,"Visalia-Porterville, CA","Visalia-Porterville, CA Metro Area","M1",1,"G3110",12494776875,37391591,36.2288241,-118.781061,41,365,5,7390,857,10,42.5904317386231,4.78413068844807,0.58343057176196
"51",49740,NA,49740,"Yuma, AZ","Yuma, AZ Metro Area","M1",1,"G3110",14281191792,13171316,32.7739424,-113.910905,21,271,9,8980,672,13,40.327380952381,3.125,1.33928571428571
"52",46060,536,46060,"Tucson, AZ","Tucson, AZ Metro Area","M1",1,"G3110",23794325411,5273054,32.1285226,-111.7830267,126,306,31,770,1992,10,15.3614457831325,6.32530120481928,1.55622489959839
"53",48620,556,48620,"Wichita, KS","Wichita, KS Metro Area","M1",1,"G3110",12981364606,92855414,37.6298308,-97.3988319,148,309,9,770,2452,4,12.6019575856444,6.03588907014682,0.367047308319739
"54",47380,NA,47380,"Waco, TX","Waco, TX Metro Area","M1",1,"G3110",4668694471,81529872,31.4272264,-97.0934727,23,91,4,770,466,10,19.5278969957082,4.93562231759657,0.858369098712446
"55",46140,538,46140,"Tulsa, OK","Tulsa, OK Metro Area","M1",1,"G3110",16237998497,493550071,36.2541502,-96.1749783,227,404,36,770,3345,10,12.0777279521674,6.78624813153961,1.0762331838565
"56",45820,NA,45820,"Topeka, KS","Topeka, KS Metro Area","M1",1,"G3110",8372470747,148307399,39.0413888,-95.8026393,23,61,2,770,808,10,7.54950495049505,2.84653465346535,0.247524752475248
"57",46340,540,46340,"Tyler, TX","Tyler, TX Metro Area","M1",1,"G3110",2386700344,73067567,32.3751061,-95.2687428,28,79,14,770,490,10,16.1224489795918,5.71428571428571,2.85714285714286
"58",47940,NA,47940,"Waterloo-Cedar Falls, IA","Waterloo-Cedar Falls, IA Metro Area","M1",1,"G3110",3893008619,28167535,42.5367962,-92.471608,50,56,8,770,800,4,7,6.25,1
"59",45460,NA,45460,"Terre Haute, IN","Terre Haute, IN Metro Area","M1",1,"G3110",3794391201,51269526,39.392389,-87.3470958,21,9,0,7770,496,10,1.81451612903226,4.23387096774194,0
"60",45220,533,45220,"Tallahassee, FL","Tallahassee, FL Metro Area","M1",1,"G3110",6184050070,556601745,30.3864276,-84.2804098,41,33,2,770,765,10,4.31372549019608,5.35947712418301,0.261437908496732
"61",45780,534,45780,"Toledo, OH","Toledo, OH Metro Area","M1",1,"G3110",3531467479,673611709,41.5439974,-83.6908887,40,13,0,5580,1045,10,1.24401913875598,3.82775119617225,0
"62",47580,356,47580,"Warner Robins, GA","Warner Robins, GA Metro Area","M1",1,"G3110",2006923538,19556095,32.4015944,-83.6350953,26,16,5,770,356,10,4.49438202247191,7.30337078651685,1.40449438202247
"63",49660,566,49660,"Youngstown-Warren-Boardman, OH-PA","Youngstown-Warren-Boardman, OH-PA Metro Area","M1",1,"G3110",4409156947,108718491,41.2363015,-80.5618679,50,19,4,8770,1225,13,1.55102040816327,4.08163265306122,0.326530612244898
"64",49180,268,49180,"Winston-Salem, NC","Winston-Salem, NC Metro Area","M1",1,"G3110",5201851143,80932198,36.0788515,-80.3450642,48,138,9,7070,1266,9,10.9004739336493,3.7914691943128,0.710900473933649
"65",49020,548,49020,"Winchester, VA-WV","Winchester, VA-WV Metro Area","M1",1,"G3110",2753436712,16216599,39.2729744,-78.4718276,31,58,1,770,491,4,11.8126272912424,6.31364562118126,0.203665987780041
"66",47900,548,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","M1",1,"G3110",16178106918,1124017724,38.8169283,-77.4482275,1511,6291,417,7390,27297,10,23.0464886251236,5.53540682126241,1.52764040004396
"67",48700,558,48700,"Williamsport, PA","Williamsport, PA Metro Area","M1",1,"G3110",3182060991,39457017,41.3436196,-77.0552254,34,10,0,7770,511,11,1.95694716242661,6.65362035225049,0
"68",49620,276,49620,"York-Hanover, PA","York-Hanover, PA Metro Area","M1",1,"G3110",2341884216,16941833,39.9217514,-76.7288887,35,51,0,8590,800,13,6.375,4.375,0
