"","X","state","Immi","Entre","ImmiEntre","n","ImmiRate","EntreRate","ImmiEntreRate_1","ImmiEntreRate_2","Year","ST"
"904",37,73,1221,983,108,12743,9.58,7.71,10.99,8.85,2017,"Oklahoma"
"905",38,74,11870,3225,975,50755,23.39,6.35,30.23,8.21,2017,"Texas"
"906",39,81,398,1781,50,16852,2.36,10.57,2.81,12.56,2017,"Montana"
"907",40,82,1241,1103,52,14041,8.84,7.86,4.71,4.19,2017,"Idaho"
"908",41,83,584,1137,40,13029,4.48,8.73,3.52,6.85,2017,"Wyoming"
"909",42,84,1466,977,96,11214,13.07,8.71,9.83,6.55,2017,"Colorado"
"910",43,85,2245,951,212,15475,14.51,6.15,22.29,9.44,2017,"New Mexico"
"911",44,86,2732,902,247,13155,20.77,6.86,27.38,9.04,2017,"Arizona"
"912",45,87,1541,886,99,13330,11.56,6.65,11.17,6.42,2017,"Utah"
"913",46,88,2711,523,127,11006,24.63,4.75,24.28,4.68,2017,"Nevada"
"914",47,91,3106,1134,255,16576,18.74,6.84,22.49,8.21,2017,"Washington"
"915",48,92,1743,1109,140,13329,13.08,8.32,12.62,8.03,2017,"Oregon"
"916",49,93,26631,5942,2198,78756,33.81,7.54,36.99,8.25,2017,"California"
"917",50,94,978,632,72,10773,9.08,5.87,11.39,7.36,2017,"Alaska"
"918",51,95,3223,800,215,13296,24.24,6.02,26.88,6.67,2017,"Hawaii"
