NAME,ENTRE,IMMIG,ImmiEnter,TOTAL,GEOID,INTPTLAT,INTPTLON,IMMIGRate,EntreRate,ImmigOwnEntreRate,year,metro,state
"Stockton-Lodi, CA",55,448,19,1436,44700,37.9349815,-121.272244,31.19777159,3.830083565,34.54545455,2016,Stockton-Lodi,CA
"Sacramento--Roseville--Arden-Arcade, CA",254,1087,71,4774,40900,38.7896779,-121.0057504,22.76916632,5.320485966,27.95275591,2016,Sacramento--Roseville--Arden-Arcade,CA
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",42,59,9,518,42020,35.3852263,-120.4475418,11.38996139,8.108108108,21.42857143,2016,San Luis Obispo-Paso Robles-Arroyo Grande,CA
"Santa Maria-Santa Barbara, CA",85,215,4,902,42200,34.5370572,-120.0399729,23.83592018,9.423503326,4.705882353,2016,Santa Maria-Santa Barbara,CA
"Spokane-Spokane Valley, WA",102,33,4,1393,44060,48.1890407,-117.5732186,2.368987796,7.322325915,3.921568627,2016,Spokane-Spokane Valley,WA
"San Diego-Carlsbad, CA",550,1975,159,7147,41740,33.0236041,-116.7761174,27.6339723,7.695536589,28.90909091,2016,San Diego-Carlsbad,CA
"St. George, UT",69,59,9,562,41100,37.2625308,-113.4878003,10.49822064,12.27758007,13.04347826,2016,St. George,UT
"Salt Lake City, UT",337,933,44,5460,41620,40.5727871,-112.9531375,17.08791209,6.172161172,13.05637982,2016,Salt Lake City,UT
"Santa Fe, NM",113,302,28,1143,42140,35.5143241,-105.9657706,26.42169729,9.886264217,24.77876106,2016,Santa Fe,NM
"San Antonio-New Braunfels, TX",278,745,88,4745,41700,29.4330599,-98.6069734,15.70073762,5.858798736,31.65467626,2016,San Antonio-New Braunfels,TX
"Sioux Falls, SD",309,240,9,3715,43620,43.4954205,-96.9953387,6.460296097,8.317631225,2.912621359,2016,Sioux Falls,SD
"Sherman-Denison, TX",40,26,4,491,43300,33.6245321,-96.6757378,5.295315682,8.146639511,10,2016,Sherman-Denison,TX
"Shreveport-Bossier City, LA",77,22,0,1903,43340,32.4906379,-93.6711914,1.156069364,4.046242775,0,2016,Shreveport-Bossier City,LA
"Springfield, MO",64,13,0,1021,44180,37.3608699,-93.1802617,1.273261508,6.268364349,0,2016,Springfield,MO
"St. Louis, MO-IL",356,367,30,5865,41180,38.7404035,-90.3459564,6.257459506,6.069906223,8.426966292,2016,St. Louis,MO-IL
"Springfield, IL",27,16,0,680,44100,39.828565,-89.6962052,2.352941176,3.970588235,0,2016,Springfield,IL
"South Bend-Mishawaka, IN-MI",31,28,0,669,43780,41.7749808,-86.1230143,4.185351271,4.633781764,0,2016,South Bend-Mishawaka,IN-MI
"Saginaw, MI",15,4,0,404,40980,43.3282667,-84.05541,0.99009901,3.712871287,0,2016,Saginaw,MI
"Savannah, GA",32,77,3,829,42340,32.1091449,-81.2730939,9.288299156,3.860072376,9.375,2016,Savannah,GA
"Roanoke, VA",14,50,0,486,40220,37.2862262,-79.9469346,10.28806584,2.880658436,0,2016,Roanoke,VA
"Raleigh, NC",171,498,42,3013,39580,35.7567464,-78.4604412,16.52837703,5.675406572,24.56140351,2016,Raleigh,NC
"Rochester, NY",137,181,10,2281,40380,43.148038,-77.5232575,7.935116177,6.006137659,7.299270073,2016,Rochester,NY
"Richmond, VA",154,209,18,2611,40060,37.4634618,-77.4751772,8.00459594,5.898123324,11.68831169,2016,Richmond,VA
"Reading, PA",50,111,8,819,39740,40.4139565,-75.9268598,13.55311355,6.105006105,16,2016,Reading,PA
"Scranton--Wilkes-Barre--Hazleton, PA",60,97,4,1187,42540,41.3228806,-75.8981877,8.171861837,5.054759899,6.666666667,2016,Scranton--Wilkes-Barre--Hazleton,PA
"Salisbury, MD-DE",166,329,12,2519,41540,38.3995211,-75.4782615,13.06073839,6.589916634,7.228915663,2016,Salisbury,MD-DE
"Springfield, MA",58,130,2,1540,44140,42.2477995,-72.6320465,8.441558442,3.766233766,3.448275862,2016,Springfield,MA
"Wichita Falls, TX",18,34,0,429,48660,33.7761441,-98.5019073,7.925407925,4.195804196,0,2016,Wichita Falls,TX
"Wausau, WI",26,22,5,407,48140,44.8980363,-89.757823,5.405405405,6.388206388,19.23076923,2016,Wausau,WI
"Tampa-St. Petersburg-Clearwater, FL",380,1076,72,6293,45300,28.1259071,-82.4652858,17.09836326,6.038455427,18.94736842,2016,Tampa-St. Petersburg-Clearwater,FL
"Worcester, MA-CT",175,347,29,2649,49340,42.2173112,-71.9255354,13.09928275,6.606266516,16.57142857,2016,Worcester,MA-CT
"Urban Honolulu, HI",528,2399,144,9817,46520,21.4613654,-158.201974,24.43720077,5.378425181,27.27272727,2016,Urban Honolulu,HI
"Vallejo-Fairfield, CA",45,185,2,809,46700,38.2672255,-121.939594,22.86773795,5.562422744,4.444444444,2016,Vallejo-Fairfield,CA
"Visalia-Porterville, CA",16,420,1,953,47300,36.2288241,-118.781061,44.07135362,1.678908709,6.25,2016,Visalia-Porterville,CA
